window_s,seed,variant,mode,split,level,n,threshold,auroc,avg_precision,balanced_acc,accuracy,sensitivity,specificity,f1,cohen_kappa
45.0,1,lejepa_only_128,full,test,subject_cal,40,0.5313,0.8,0.7758,0.675,0.675,0.9,0.45,0.7347,0.35
45.0,1,lejepa_only_128,full,val,window,2486,,0.7112,0.8286,0.6087,0.7389,0.9516,0.2659,0.8341,0.2628
45.0,1,lejepa_only_128,full,val,subject,40,,0.665,0.7032,0.575,0.575,1.0,0.15,0.7018,0.15
45.0,1,mixed_128,full,test,window,3104,,0.5971,0.7882,0.5733,0.5738,0.5744,0.5723,0.661,0.121
45.0,1,mixed_128,full,test,subject,40,,0.5925,0.5725,0.575,0.575,0.6,0.55,0.5854,0.15
45.0,1,mixed_128,full,test,subject_cal,40,0.4068,0.5925,0.5725,0.525,0.525,0.6,0.45,0.5581,0.05
45.0,1,mixed_128,full,val,window,2486,,0.6367,0.7788,0.6065,0.6058,0.6047,0.6083,0.6791,0.1878
45.0,1,mixed_128,full,val,subject,40,,0.5775,0.5352,0.55,0.55,0.5,0.6,0.5263,0.1
45.0,1,mixed_300,full,test,window,3104,,0.6726,0.8134,0.6296,0.7017,0.7907,0.4685,0.7932,0.258
45.0,1,mixed_300,full,test,subject,40,,0.68,0.6361,0.675,0.675,0.8,0.55,0.7111,0.35
45.0,1,mixed_300,full,test,subject_cal,40,0.5616,0.68,0.6361,0.625,0.625,0.7,0.55,0.6512,0.25
45.0,1,mixed_300,full,val,window,2486,,0.6446,0.8071,0.5879,0.6348,0.7114,0.4643,0.7288,0.1707
45.0,1,mixed_300,full,val,subject,40,,0.565,0.5495,0.6,0.6,0.8,0.4,0.6667,0.2
45.0,2,reconstruction_only,full,test,window,3465,,0.6986,0.8616,0.5854,0.7472,0.9134,0.2574,0.8436,0.2036
45.0,2,reconstruction_only,full,test,subject,40,,0.7525,0.7345,0.55,0.55,1.0,0.1,0.6897,0.1
45.0,2,reconstruction_only,full,test,subject_cal,40,0.6744,0.7525,0.7345,0.675,0.675,0.75,0.6,0.6977,0.35
45.0,2,reconstruction_only,full,val,window,3238,,0.5473,0.6464,0.5148,0.5985,0.9157,0.114,0.7338,0.0341
45.0,2,reconstruction_only,full,val,subject,40,,0.515,0.5469,0.45,0.45,0.9,0.0,0.6207,-0.1
45.0,2,lejepa_only_128,full,test,window,3465,,0.7153,0.8766,0.5,0.7466,1.0,0.0,0.8549,0.0
45.0,2,lejepa_only_128,full,test,subject,40,,0.82,0.8039,0.5,0.5,1.0,0.0,0.6667,0.0
45.0,2,lejepa_only_128,full,test,subject_cal,40,0.702,0.82,0.8039,0.725,0.725,0.7,0.75,0.7179,0.45
45.0,2,lejepa_only_128,full,val,window,3238,,0.5485,0.6124,0.5,0.6044,1.0,0.0,0.7534,0.0
45.0,2,lejepa_only_128,full,val,subject,40,,0.5925,0.5902,0.5,0.5,1.0,0.0,0.6667,0.0
45.0,2,mixed_128,full,test,window,3465,,0.7147,0.8721,0.6535,0.6742,0.6954,0.6116,0.7612,0.2628
45.0,2,mixed_128,full,test,subject,40,,0.775,0.7506,0.775,0.775,0.8,0.75,0.7805,0.55
45.0,2,mixed_128,full,test,subject_cal,40,0.4571,0.775,0.7506,0.65,0.65,0.8,0.5,0.6957,0.3
45.0,2,mixed_128,full,val,window,3238,,0.5547,0.6476,0.5369,0.5584,0.6398,0.434,0.6365,0.074
45.0,2,mixed_128,full,val,subject,40,,0.5725,0.6188,0.55,0.55,0.6,0.5,0.5714,0.1
45.0,2,mixed_300,full,test,window,3465,,0.7068,0.875,0.6555,0.6609,0.6664,0.6446,0.7458,0.2576
45.0,2,mixed_300,full,test,subject,40,,0.7625,0.7651,0.725,0.725,0.7,0.75,0.7179,0.45
45.0,2,mixed_300,full,test,subject_cal,40,0.4954,0.7625,0.7651,0.725,0.725,0.7,0.75,0.7179,0.45
45.0,2,mixed_300,full,val,window,3238,,0.5679,0.683,0.5453,0.5747,0.6863,0.4044,0.6611,0.0925
45.0,2,mixed_300,full,val,subject,40,,0.505,0.5965,0.6,0.6,0.7,0.5,0.6364,0.2
45.0,3,reconstruction_only,full,test,window,3142,,0.6618,0.8111,0.6169,0.606,0.5899,0.6439,0.6778,0.1988
45.0,3,reconstruction_only,full,test,subject,40,,0.65,0.6249,0.65,0.65,0.65,0.65,0.65,0.3
45.0,3,reconstruction_only,full,test,subject_cal,40,0.407,0.65,0.6249,0.625,0.625,0.75,0.5,0.6667,0.25
45.0,3,reconstruction_only,full,val,window,3323,,0.6789,0.7973,0.6387,0.6545,0.6833,0.5942,0.7282,0.2598
45.0,3,reconstruction_only,full,val,subject,40,,0.6575,0.5981,0.625,0.625,0.65,0.6,0.6341,0.25
45.0,3,lejepa_only_128,full,test,window,3142,,0.5929,0.7736,0.5705,0.6305,0.7186,0.4225,0.7321,0.1376
45.0,3,lejepa_only_128,full,test,subject,40,,0.5375,0.5229,0.55,0.55,0.8,0.3,0.64,0.1
45.0,3,lejepa_only_128,full,test,subject_cal,40,0.6437,0.5375,0.5229,0.475,0.475,0.45,0.5,0.4615,-0.05
45.0,3,lejepa_only_128,full,val,window,3323,,0.7085,0.8308,0.6377,0.7018,0.8183,0.4571,0.788,0.2875
45.0,3,lejepa_only_128,full,val,subject,40,,0.725,0.6819,0.65,0.65,0.9,0.4,0.72,0.3
45.0,3,mixed_128,full,test,window,3142,,0.588,0.7819,0.5332,0.6018,0.7028,0.3636,0.7126,0.0652
45.0,3,mixed_128,full,test,subject,40,,0.57,0.595,0.525,0.525,0.8,0.25,0.6275,0.05
45.0,3,mixed_128,full,test,subject_cal,40,0.6244,0.57,0.595,0.525,0.525,0.4,0.65,0.4571,0.05
45.0,3,mixed_128,full,val,window,3323,,0.6567,0.7962,0.6075,0.6903,0.841,0.3741,0.7863,0.2328
45.0,3,mixed_128,full,val,subject,40,,0.6225,0.6637,0.55,0.55,0.8,0.3,0.64,0.1
45.0,3,mixed_300,full,test,window,3142,,0.6146,0.7754,0.5911,0.5983,0.609,0.5733,0.6805,0.1594
45.0,3,mixed_300,full,test,subject,40,,0.6525,0.5966,0.65,0.65,0.6,0.7,0.6316,0.3
45.0,3,mixed_300,full,test,subject_cal,40,0.3504,0.6525,0.5966,0.575,0.575,0.95,0.2,0.6909,0.15
45.0,3,mixed_300,full,val,window,3323,,0.6651,0.8152,0.5988,0.6365,0.705,0.4925,0.7243,0.1919
45.0,3,mixed_300,full,val,subject,40,,0.6275,0.6776,0.525,0.525,0.6,0.45,0.5581,0.05
45.0,4,reconstruction_only,full,test,window,3482,,0.6138,0.6994,0.5808,0.6419,0.8201,0.3416,0.7419,0.1743
45.0,4,reconstruction_only,full,test,subject,40,,0.7,0.7153,0.675,0.675,1.0,0.35,0.7547,0.35
45.0,4,reconstruction_only,full,test,subject_cal,40,0.5986,0.7,0.7153,0.625,0.625,0.8,0.45,0.6809,0.25
45.0,4,reconstruction_only,full,val,window,3273,,0.7512,0.8961,0.6545,0.7696,0.8725,0.4365,0.8527,0.3259
45.0,4,reconstruction_only,full,val,subject,40,,0.8125,0.7853,0.625,0.625,0.95,0.3,0.717,0.25
45.0,4,lejepa_only_128,full,test,window,3482,,0.6465,0.7682,0.5434,0.6244,0.8609,0.2259,0.742,0.0975
45.0,4,lejepa_only_128,full,test,subject,40,,0.6375,0.722,0.5,0.5,0.8,0.2,0.6154,0.0
45.0,4,lejepa_only_128,full,test,subject_cal,40,0.6387,0.6375,0.722,0.55,0.55,0.6,0.5,0.5714,0.1
45.0,4,lejepa_only_128,full,val,window,3273,,0.7728,0.907,0.6499,0.7736,0.884,0.4158,0.8565,0.3231
45.0,4,lejepa_only_128,full,val,subject,40,,0.7275,0.713,0.675,0.675,0.9,0.45,0.7347,0.35
45.0,4,mixed_128,full,test,window,3482,,0.6462,0.7309,0.5599,0.6491,0.9094,0.2105,0.7648,0.1377
45.0,4,mixed_128,full,test,subject,40,,0.66,0.6688,0.575,0.575,0.95,0.2,0.6909,0.15
45.0,4,mixed_128,full,test,subject_cal,40,0.6006,0.66,0.6688,0.575,0.575,0.6,0.55,0.5854,0.15
45.0,4,mixed_128,full,val,window,3273,,0.735,0.893,0.6223,0.7828,0.926,0.3187,0.8669,0.2888
45.0,4,mixed_128,full,val,subject,40,,0.6775,0.6899,0.625,0.625,0.95,0.3,0.717,0.25
45.0,4,mixed_300,full,test,window,3482,,0.7038,0.7988,0.6317,0.6798,0.8201,0.4433,0.7627,0.2778
45.0,4,mixed_300,full,test,subject,40,,0.785,0.7863,0.7,0.7,0.9,0.5,0.75,0.4
45.0,4,mixed_300,full,test,subject_cal,40,0.4983,0.785,0.7863,0.7,0.7,0.9,0.5,0.75,0.4
45.0,4,mixed_300,full,val,window,3273,,0.7582,0.9076,0.6721,0.7507,0.8209,0.5233,0.8342,0.3323
45.0,4,mixed_300,full,val,subject,40,,0.7625,0.7393,0.7,0.7,0.9,0.5,0.75,0.4
60.0,0,reconstruction_only,full,test,window,3190,,0.7106,0.8564,0.5706,0.7361,0.9272,0.214,0.8372,0.1735
60.0,0,reconstruction_only,full,test,subject,40,,0.655,0.7066,0.475,0.475,0.85,0.1,0.6182,-0.05
60.0,0,reconstruction_only,full,test,subject_cal,40,0.6994,0.655,0.7066,0.65,0.65,0.55,0.75,0.6111,0.3
60.0,0,reconstruction_only,full,val,window,2489,,0.6077,0.7501,0.5598,0.7208,0.9649,0.1547,0.8284,0.1528
60.0,0,reconstruction_only,full,val,subject,40,,0.6725,0.6149,0.575,0.575,1.0,0.15,0.7018,0.15
60.0,0,lejepa_only_128,full,test,window,3190,,0.7153,0.8638,0.5,0.732,1.0,0.0,0.8452,0.0
60.0,0,lejepa_only_128,full,test,subject,40,,0.6875,0.6594,0.5,0.5,1.0,0.0,0.6667,0.0
60.0,0,lejepa_only_128,full,test,subject_cal,40,0.6789,0.6875,0.6594,0.65,0.65,0.5,0.8,0.5882,0.3
60.0,0,lejepa_only_128,full,val,window,2489,,0.6201,0.7727,0.5,0.6987,1.0,0.0,0.8226,0.0
60.0,0,lejepa_only_128,full,val,subject,40,,0.625,0.6443,0.5,0.5,1.0,0.0,0.6667,0.0
60.0,0,mixed_128,full,test,window,3190,,0.6977,0.8552,0.6331,0.6777,0.7293,0.5368,0.7682,0.2448
60.0,0,mixed_128,full,test,subject,40,,0.705,0.6679,0.625,0.625,0.8,0.45,0.6809,0.25
60.0,0,mixed_128,full,test,subject_cal,40,0.7213,0.705,0.6679,0.625,0.625,0.45,0.8,0.5455,0.25
60.0,0,mixed_128,full,val,window,2489,,0.6271,0.7933,0.5856,0.6292,0.6952,0.476,0.7237,0.1628
60.0,0,mixed_128,full,val,subject,40,,0.7475,0.8061,0.675,0.675,0.8,0.55,0.7111,0.35
60.0,0,mixed_300,full,test,window,3190,,0.761,0.8979,0.6689,0.7144,0.767,0.5708,0.7972,0.317
60.0,0,mixed_300,full,test,subject,40,,0.6925,0.7048,0.675,0.675,0.75,0.6,0.6977,0.35
60.0,0,mixed_300,full,test,subject_cal,40,0.6637,0.6925,0.7048,0.65,0.65,0.6,0.7,0.6316,0.3
60.0,0,mixed_300,full,val,window,2489,,0.6277,0.8033,0.5718,0.6697,0.8183,0.3253,0.7759,0.1548
60.0,0,mixed_300,full,val,subject,40,,0.64,0.5935,0.625,0.625,0.9,0.35,0.7059,0.25
60.0,1,reconstruction_only,full,test,window,2678,,0.5958,0.7939,0.5674,0.5975,0.6289,0.5058,0.6994,0.1129
60.0,1,reconstruction_only,full,test,subject,40,,0.5925,0.566,0.6,0.6,0.7,0.5,0.6364,0.2
60.0,1,reconstruction_only,full,test,subject_cal,40,0.3954,0.5925,0.566,0.55,0.55,0.7,0.4,0.6087,0.1
60.0,1,reconstruction_only,full,val,window,2074,,0.6624,0.8164,0.6189,0.608,0.5935,0.6442,0.6838,0.1985
60.0,1,reconstruction_only,full,val,subject,40,,0.645,0.5981,0.625,0.625,0.55,0.7,0.5946,0.25
60.0,1,lejepa_only_128,full,test,window,2678,,0.7834,0.9115,0.6474,0.786,0.9308,0.364,0.8663,0.3439
60.0,1,lejepa_only_128,full,test,subject,40,,0.785,0.7818,0.7,0.7,0.95,0.45,0.76,0.4
60.0,1,lejepa_only_128,full,test,subject_cal,40,0.5402,0.785,0.7818,0.65,0.65,0.85,0.45,0.7083,0.3
60.0,1,lejepa_only_128,full,val,window,2074,,0.7086,0.8298,0.6386,0.7705,0.9467,0.3305,0.8549,0.3303
60.0,1,lejepa_only_128,full,val,subject,40,,0.625,0.5906,0.625,0.625,1.0,0.25,0.7273,0.25
60.0,1,mixed_128,full,test,window,2678,,0.6866,0.8595,0.6188,0.6819,0.7477,0.4898,0.7778,0.2212
60.0,1,mixed_128,full,test,subject,40,,0.695,0.677,0.65,0.65,0.7,0.6,0.6667,0.3
60.0,1,mixed_128,full,test,subject_cal,40,0.4997,0.695,0.677,0.675,0.675,0.75,0.6,0.6977,0.35
60.0,1,mixed_128,full,val,window,2074,,0.7023,0.8128,0.6567,0.7068,0.7738,0.5396,0.7903,0.3039
60.0,1,mixed_128,full,val,subject,40,,0.6075,0.5508,0.65,0.65,0.8,0.5,0.6957,0.3
60.0,1,mixed_300,full,test,window,2678,,0.5891,0.7848,0.5544,0.5904,0.6279,0.481,0.6954,0.0918
60.0,1,mixed_300,full,test,subject,40,,0.5875,0.5533,0.675,0.675,0.75,0.6,0.6977,0.35
60.0,1,mixed_300,full,test,subject_cal,40,0.3527,0.5875,0.5533,0.525,0.525,0.8,0.25,0.6275,0.05
60.0,1,mixed_300,full,val,window,2074,,0.7023,0.8591,0.6248,0.6403,0.661,0.5885,0.7241,0.2208
60.0,1,mixed_300,full,val,subject,40,,0.645,0.6753,0.625,0.625,0.7,0.55,0.6512,0.25
60.0,2,reconstruction_only,full,test,window,2947,,0.6713,0.8649,0.5749,0.757,0.9127,0.2371,0.8526,0.1794
60.0,2,reconstruction_only,full,test,subject,40,,0.6925,0.6731,0.575,0.575,1.0,0.15,0.7018,0.15
60.0,2,reconstruction_only,full,test,subject_cal,40,0.6337,0.6925,0.6731,0.65,0.65,0.95,0.35,0.7308,0.3
60.0,2,reconstruction_only,full,val,window,2828,,0.5707,0.6362,0.5068,0.5912,0.9241,0.0895,0.731,0.0158
60.0,2,reconstruction_only,full,val,subject,40,,0.4875,0.5423,0.45,0.45,0.9,0.0,0.6207,-0.1
60.0,2,lejepa_only_128,full,test,window,2947,,0.7253,0.8946,0.5,0.7696,1.0,0.0,0.8698,0.0
60.0,2,lejepa_only_128,full,test,subject,40,,0.81,0.7988,0.5,0.5,1.0,0.0,0.6667,0.0
60.0,2,lejepa_only_128,full,test,subject_cal,40,0.6295,0.81,0.7988,0.7,0.7,0.95,0.45,0.76,0.4
60.0,2,lejepa_only_128,full,val,window,2828,,0.5347,0.6009,0.5,0.6011,1.0,0.0,0.7509,0.0
60.0,2,lejepa_only_128,full,val,subject,40,,0.555,0.5629,0.5,0.5,1.0,0.0,0.6667,0.0
60.0,2,mixed_128,full,test,window,2947,,0.6997,0.8719,0.6251,0.7676,0.8893,0.3608,0.8548,0.2762
60.0,2,mixed_128,full,test,subject,40,,0.7775,0.7528,0.675,0.675,0.95,0.4,0.7451,0.35
60.0,2,mixed_128,full,test,subject_cal,40,0.7506,0.7775,0.7528,0.775,0.775,0.7,0.85,0.7568,0.55
60.0,2,mixed_128,full,val,window,2828,,0.5825,0.6729,0.5471,0.6178,0.8965,0.1977,0.7382,0.1057
60.0,2,mixed_128,full,val,subject,40,,0.56,0.5994,0.525,0.525,0.9,0.15,0.6545,0.05
60.0,2,mixed_300,full,test,window,2947,,0.7659,0.9115,0.681,0.7051,0.7257,0.6362,0.7912,0.3033
60.0,2,mixed_300,full,test,subject,40,,0.7775,0.7778,0.75,0.75,0.8,0.7,0.7619,0.5
60.0,2,mixed_300,full,test,subject_cal,40,0.4116,0.7775,0.7778,0.75,0.75,0.9,0.6,0.7826,0.5
60.0,2,mixed_300,full,val,window,2828,,0.6217,0.7114,0.5851,0.6071,0.6941,0.4761,0.6799,0.172
60.0,2,mixed_300,full,val,subject,40,,0.6175,0.6678,0.55,0.55,0.55,0.55,0.55,0.1
60.0,3,reconstruction_only,full,test,window,2552,,0.5992,0.7884,0.5473,0.6724,0.825,0.2696,0.7851,0.1032
60.0,3,reconstruction_only,full,test,subject,40,,0.605,0.5803,0.575,0.575,1.0,0.15,0.7018,0.15
60.0,3,reconstruction_only,full,test,subject_cal,40,0.7202,0.605,0.5803,0.475,0.475,0.15,0.8,0.2222,-0.05
60.0,3,reconstruction_only,full,val,window,2956,,0.6983,0.8495,0.6181,0.7165,0.8646,0.3716,0.8101,0.2594
60.0,3,reconstruction_only,full,val,subject,40,,0.65,0.7031,0.575,0.575,0.9,0.25,0.6792,0.15
60.0,3,lejepa_only_128,full,test,window,2552,,0.6255,0.8071,0.5782,0.7077,0.8655,0.291,0.8111,0.1758
60.0,3,lejepa_only_128,full,test,subject,40,,0.6225,0.6516,0.525,0.525,0.9,0.15,0.6545,0.05
60.0,3,lejepa_only_128,full,test,subject_cal,40,0.6867,0.6225,0.6516,0.55,0.55,0.5,0.6,0.5263,0.1
60.0,3,lejepa_only_128,full,val,window,2956,,0.7086,0.8487,0.6047,0.7283,0.9144,0.295,0.8249,0.2448
60.0,3,lejepa_only_128,full,val,subject,40,,0.69,0.6856,0.575,0.575,0.95,0.2,0.6909,0.15
60.0,3,mixed_128,full,test,window,2552,,0.5929,0.7702,0.5573,0.7049,0.8849,0.2297,0.8131,0.134
60.0,3,mixed_128,full,test,subject,40,,0.5875,0.5765,0.55,0.55,0.95,0.15,0.6786,0.1
60.0,3,mixed_128,full,test,subject_cal,40,0.7072,0.5875,0.5765,0.45,0.45,0.3,0.6,0.3529,-0.1
60.0,3,mixed_128,full,val,window,2956,,0.669,0.8154,0.5744,0.7206,0.9405,0.2083,0.8249,0.1829
60.0,3,mixed_128,full,val,subject,40,,0.615,0.6202,0.55,0.55,0.95,0.15,0.6786,0.1
60.0,3,mixed_300,full,test,window,2552,,0.5796,0.7598,0.566,0.6803,0.8196,0.3124,0.7881,0.1412
60.0,3,mixed_300,full,test,subject,40,,0.585,0.5683,0.6,0.6,0.95,0.25,0.7037,0.2
60.0,3,mixed_300,full,test,subject_cal,40,0.7282,0.585,0.5683,0.5,0.5,0.25,0.75,0.3333,0.0
60.0,3,mixed_300,full,val,window,2956,,0.6875,0.8208,0.6068,0.7263,0.9062,0.3074,0.8225,0.247
60.0,3,mixed_300,full,val,subject,40,,0.645,0.6477,0.575,0.575,0.9,0.25,0.6792,0.15
60.0,4,reconstruction_only,full,test,window,3045,,0.6303,0.6989,0.6105,0.6581,0.773,0.448,0.7452,0.228
60.0,4,reconstruction_only,full,test,subject,40,,0.7375,0.7143,0.7,0.7,0.9,0.5,0.75,0.4
60.0,4,reconstruction_only,full,test,subject_cal,40,0.4257,0.7375,0.7143,0.65,0.65,0.95,0.35,0.7308,0.3
60.0,4,reconstruction_only,full,val,window,2852,,0.7352,0.9042,0.6692,0.7097,0.7388,0.5997,0.801,0.2785
60.0,4,reconstruction_only,full,val,subject,40,,0.805,0.7812,0.75,0.75,0.85,0.65,0.7727,0.5
60.0,4,lejepa_only_128,full,test,window,3045,,0.6279,0.7298,0.5669,0.6519,0.8568,0.277,0.7609,0.1493
60.0,4,lejepa_only_128,full,test,subject,40,,0.61,0.6851,0.55,0.55,0.85,0.25,0.6538,0.1
60.0,4,lejepa_only_128,full,test,subject_cal,40,0.5952,0.61,0.6851,0.6,0.6,0.7,0.5,0.6364,0.2
60.0,4,lejepa_only_128,full,val,window,2852,,0.753,0.9071,0.6789,0.7619,0.8217,0.536,0.8452,0.3322
60.0,4,lejepa_only_128,full,val,subject,40,,0.7275,0.6757,0.7,0.7,0.85,0.55,0.7391,0.4
60.0,4,mixed_128,full,test,window,3045,,0.6722,0.7475,0.5641,0.6775,0.9507,0.1775,0.7922,0.1538
60.0,4,mixed_128,full,test,subject,40,,0.7025,0.714,0.575,0.575,0.95,0.2,0.6909,0.15
60.0,4,mixed_128,full,test,subject_cal,40,0.8525,0.7025,0.714,0.6,0.6,0.4,0.8,0.5,0.2
60.0,4,mixed_128,full,val,window,2852,,0.7468,0.9185,0.577,0.7868,0.9379,0.2161,0.8743,0.193
60.0,4,mixed_128,full,val,subject,40,,0.695,0.7389,0.575,0.575,1.0,0.15,0.7018,0.15
60.0,4,mixed_300,full,test,window,3045,,0.6727,0.7807,0.5952,0.6749,0.8669,0.3234,0.7752,0.2111
60.0,4,mixed_300,full,test,subject,40,,0.72,0.7456,0.625,0.625,0.9,0.35,0.7059,0.25
60.0,4,mixed_300,full,test,subject_cal,40,0.6521,0.72,0.7456,0.675,0.675,0.85,0.5,0.7234,0.35
60.0,4,mixed_300,full,val,window,2852,,0.7675,0.9251,0.6595,0.7742,0.8568,0.4623,0.8571,0.3187
60.0,4,mixed_300,full,val,subject,40,,0.795,0.7951,0.65,0.65,0.9,0.4,0.72,0.3
